Date,Open,High,Low,Close,Adj Close,Volume
"Nov 6, 2025",621.96,622.77,614.82,616.24,616.24,"7,068,095"
"Nov 5, 2025",620.59,626,619.83,622.86,622.86,"10,323,100"
"Nov 4, 2025",621.65,625.17,620.2,620.99,620.99,"8,390,500"
"Nov 3, 2025",630.42,630.54,625.16,628.27,628.27,"5,568,100"
"Oct 31, 2025",629.84,629.94,624.5,627.04,627.04,"7,058,600"
"Oct 30, 2025",628.81,630.63,625.1,625.24,625.24,"6,243,300"
"Oct 29, 2025",633.21,634.13,627.87,631.95,631.95,"6,104,500"
"Oct 28, 2025",631.71,633.39,629.64,631.69,631.69,"5,625,600"
"Oct 27, 2025",627.74,630.29,627.16,630,630,"7,804,300"
"Oct 24, 2025",621.92,623.79,621.21,622.55,622.55,"5,694,900"
"Oct 23, 2025",614.25,618.47,613.99,617.44,617.44,"5,851,800"
"Oct 22, 2025",617.83,617.83,609.83,613.97,613.97,"6,961,600"
"Oct 21, 2025",617.33,618.74,615.98,617.09,617.09,"4,216,200"
"Oct 20, 2025",613.51,618.01,613.51,617.17,617.17,"4,086,200"
"Oct 17, 2025",606.34,612.02,605.1,610.76,610.76,"6,911,000"
"Oct 16, 2025",613.11,614.8,604.14,607.39,607.39,"7,594,800"
"Oct 15, 2025",613.07,616.21,605.82,611.43,611.43,"6,504,900"
"Oct 14, 2025",604.2,612.14,600.51,608.75,608.75,"7,493,500"
"Oct 13, 2025",607.37,611.03,606.58,609.61,609.61,"6,968,400"
"Oct 10, 2025",617.99,619.6,600.23,600.51,600.51,"13,664,200"
"Oct 9, 2025",619.23,619.59,615.28,617.1,617.1,"5,898,500"
"Oct 8, 2025",616.22,618.9,615.46,618.77,618.77,"5,035,200"
"Oct 7, 2025",618.3,618.74,613.82,615.2,615.2,"7,466,300"
"Oct 6, 2025",617.46,618.28,615.48,617.4,617.4,"6,056,400"
"Oct 3, 2025",615.95,618.42,614.29,615.3,615.3,"7,210,700"
"Oct 2, 2025",616.41,616.48,613.02,615.25,615.25,"7,139,500"
"Oct 1, 2025",609.7,615.39,609.57,614.57,614.57,"10,020,000"
"Sep 30, 2025",609.43,612.86,608.27,612.38,612.38,"6,515,700"
"Sep 29, 2025",610.79,611.68,608.48,610.13,610.13,"5,658,800"
"Sep 26, 2025",608.03,610.7,606.57,610.16,608.42,"6,438,600"
"Sep 25, 2025",606.62,607.93,603.35,606.59,604.86,"6,965,700"
"Sep 24, 2025",612.63,612.74,608.19,609.5,607.76,"23,787,300"
"Sep 23, 2025",614.71,615.26,610.34,611.54,609.8,"10,753,000"
"Sep 22, 2025",610.52,615.22,610.51,614.76,613.01,"11,583,800"
"Sep 19, 2025",610.62,612.67,608.85,611.78,610.04,"6,065,700"
"Sep 18, 2025",608.55,611.31,607.07,608.94,607.2,"11,057,500"
"Sep 17, 2025",606.84,608.33,601.55,606.09,604.36,"11,613,600"
"Sep 16, 2025",608.16,608.42,606.06,606.79,605.06,"6,393,200"
"Sep 15, 2025",606.47,607.77,606.2,607.59,605.86,"7,710,700"
"Sep 12, 2025",604.59,605.98,603.95,604.44,602.72,"8,130,500"
"Sep 11, 2025",601.43,605.23,600.89,604.57,602.85,"9,109,700"
"Sep 10, 2025",600.92,601.75,598.16,599.68,597.97,"21,641,100"
"Sep 9, 2025",596.61,598.37,595.01,597.95,596.24,"7,844,800"
"Sep 8, 2025",596.31,597.41,595.03,596.5,594.8,"9,472,200"
"Sep 5, 2025",598.91,599.6,591.45,594.96,593.26,"6,641,500"
"Sep 4, 2025",592.47,596.77,591.6,596.59,594.89,"8,045,600"
"Sep 3, 2025",590.81,592.23,588.78,591.72,590.03,"8,205,900"
"Sep 2, 2025",586.06,588.8,583.67,588.71,587.03,"11,116,700"
"Aug 29, 2025",595.24,595.55,591.25,593.08,591.39,"7,512,000"
"Aug 28, 2025",595.07,597.07,593.27,596.52,594.82,"5,058,700"
"Aug 27, 2025",592.52,595.14,592.44,594.42,592.72,"6,171,400"
"Aug 26, 2025",590.38,593.43,589.79,593.06,591.37,"4,776,600"
"Aug 25, 2025",592.05,593.23,590.55,590.7,589.02,"6,483,000"
"Aug 22, 2025",586.27,594.32,585.84,593.21,591.52,"6,389,300"
"Aug 21, 2025",584.93,586.46,582.65,584.27,582.6,"4,807,300"
"Aug 20, 2025",587.81,588,581.85,586.58,584.91,"7,113,600"
"Aug 19, 2025",591.25,592.12,586.94,588.13,586.45,"6,739,300"
"Aug 18, 2025",590.98,592.02,590.35,591.36,589.67,"5,311,700"
"Aug 15, 2025",593.86,593.95,590.66,591.57,589.88,"7,196,300"
"Aug 14, 2025",590.92,593.51,590.5,592.85,591.16,"6,236,700"
"Aug 13, 2025",592.86,594.03,590.81,592.84,591.15,"5,393,000"
"Aug 12, 2025",586.75,590.96,585.43,590.78,589.1,"5,851,900"
"Aug 11, 2025",586.03,587.36,583.44,584.54,582.87,"5,373,900"
"Aug 8, 2025",582.93,586.17,582.6,585.74,584.07,"4,342,300"
"Aug 7, 2025",584.87,585.52,578.31,581.29,579.63,"4,594,300"
"Aug 6, 2025",578.25,582.27,577.41,581.64,579.98,"4,545,000"
"Aug 5, 2025",580.79,581.5,576.4,577.35,575.7,"4,647,400"
"Aug 4, 2025",575.17,580.21,575.08,580.14,578.49,"6,640,100"
"Aug 1, 2025",575.73,575.74,569.29,571.45,569.82,"8,781,300"
"Jul 31, 2025",587.83,588.16,579.84,581.02,579.36,"7,046,800"
"Jul 30, 2025",584.66,586.15,580.55,583.21,581.55,"6,974,700"
"Jul 29, 2025",586.82,587.08,583.12,583.92,582.25,"5,053,400"
"Jul 28, 2025",586.04,586.5,584.24,585.44,583.77,"4,193,100"
"Jul 25, 2025",583.81,586.04,583.59,585.58,583.91,"4,210,100"
"Jul 24, 2025",583.34,584.75,582.72,583.26,581.6,"3,840,900"
"Jul 23, 2025",580.57,582.96,578.87,582.86,581.2,"4,257,300"
"Jul 22, 2025",578.28,578.84,575.64,577.95,576.3,"4,767,700"
"Jul 21, 2025",577.98,580.53,577.59,577.95,576.3,"5,913,800"
"Jul 18, 2025",578.47,578.5,575.84,576.92,575.27,"4,262,400"
"Jul 17, 2025",574.02,577.65,573.8,577.18,575.53,"6,495,300"
"Jul 16, 2025",573.4,574.26,568.17,573.74,572.1,"6,141,200"
"Jul 15, 2025",576.85,577.16,571.85,571.86,570.23,"5,399,000"
"Jul 14, 2025",572.85,574.68,571.58,574.35,572.71,"4,747,000"
"Jul 11, 2025",572.45,574.38,571.37,573.22,571.59,"4,428,900"
"Jul 10, 2025",573.78,576.26,572.7,575.29,573.65,"4,961,700"
"Jul 9, 2025",572.46,574.26,570.76,573.61,571.97,"7,156,500"
"Jul 8, 2025",571.15,571.83,569.48,570.23,568.6,"6,944,600"
"Jul 7, 2025",573,573.59,567.98,570.61,568.98,"6,417,800"
"Jul 3, 2025",572.18,575.67,572.13,575.22,573.58,"4,837,000"
"Jul 2, 2025",567.37,570.34,566.81,570.29,568.66,"6,164,000"
"Jul 1, 2025",566.56,568.8,565.8,567.77,566.15,"7,412,700"
"Jun 30, 2025",567.5,569.15,565.38,568.03,566.41,"5,750,600"
"Jun 27, 2025",565.11,568.33,563.21,566.95,563.59,"6,056,500"
"Jun 26, 2025",561.52,564.55,560.96,564.15,560.81,"6,081,400"
"Jun 25, 2025",560.52,561.02,558.34,559.72,556.41,"16,472,300"
"Jun 24, 2025",557.18,560.43,556.37,559.44,556.13,"6,770,000"
"Jun 23, 2025",548.66,553.7,545.75,553.36,550.08,"9,820,200"
"Jun 20, 2025",551.72,552.72,546.62,547.72,544.48,"9,978,500"
"Jun 18, 2025",550.16,552.71,548.39,549.24,545.99,"4,602,300"
"Jun 17, 2025",551.79,553.16,548.64,549.35,546.1,"4,753,300"
"Jun 16, 2025",551.94,555.69,551.87,554.07,550.79,"7,421,300"
"Jun 13, 2025",550.24,553.25,547.41,548.77,545.52,"7,100,600"
"Jun 12, 2025",551.6,555,551.13,554.95,551.66,"8,422,900"
"Jun 11, 2025",555.41,556.23,550.91,552.86,549.59,"20,800,600"
"Jun 10, 2025",551.78,554.74,550.74,554.39,551.11,"5,984,100"
"Jun 9, 2025",551.3,552.7,550.2,551.25,547.99,"4,516,400"
"Jun 6, 2025",550.3,552.32,548.7,550.66,547.4,"4,736,000"
"Jun 5, 2025",549.48,550.63,543.34,545.09,541.86,"6,372,100"
"Jun 4, 2025",548.75,549.65,547.44,547.65,544.41,"4,543,400"
"Jun 3, 2025",544.53,548.87,544.09,548,544.76,"4,993,600"
"Jun 2, 2025",540.25,544.91,537.8,544.91,541.68,"5,933,500"
"May 30, 2025",541.35,543.39,536.16,541.76,538.55,"6,171,500"
"May 29, 2025",545.15,545.28,538.74,542.32,539.11,"4,659,500"
"May 28, 2025",543.79,544.9,539.61,540.24,537.04,"4,910,500"
"May 27, 2025",538.72,543.52,537.18,543.34,540.12,"6,118,100"
